timestamp_s,frame,class,x1,y1,x2,y2,confidence
0.0,0,person,966,506,1070,716,0.533
0.033,1,person,963,506,1073,718,0.602
0.067,2,person,964,504,1072,717,0.531
0.1,3,person,961,502,1077,717,0.634
0.1,3,person,366,495,472,710,0.406
0.133,4,person,959,504,1078,717,0.567
0.167,5,car,562,380,891,500,0.622
0.167,5,person,960,504,1075,718,0.517
0.2,6,person,960,506,1075,718,0.486
0.233,7,person,963,505,1076,716,0.512
0.233,7,car,561,385,911,499,0.417
0.267,8,person,964,508,1076,717,0.459
0.3,9,person,960,514,1076,720,0.421
0.333,10,car,618,386,939,505,0.581
0.367,11,car,617,387,959,510,0.811
0.4,12,car,623,386,973,512,0.8
0.4,12,person,957,512,1076,720,0.403
0.433,13,car,629,382,984,512,0.823
0.467,14,car,632,385,1003,517,0.825
0.5,15,car,665,384,1010,522,0.793
0.533,16,car,661,382,1035,534,0.84
0.533,16,person,1211,550,1337,713,0.413
0.567,17,car,640,378,1057,533,0.867
0.6,18,car,672,381,1069,532,0.867
0.6,18,person,1208,544,1338,713,0.431
0.633,19,car,660,385,1074,524,0.813
0.633,19,person,153,472,248,708,0.475
0.667,20,car,688,387,1105,530,0.896
0.667,20,person,162,487,247,703,0.498
0.7,21,car,652,384,1105,525,0.779
0.7,21,person,159,476,251,709,0.559
0.733,22,car,711,386,1139,536,0.752
0.733,22,person,160,480,256,710,0.624
0.767,23,car,743,390,1156,537,0.848
0.767,23,person,161,480,256,711,0.607
0.8,24,car,740,384,1153,532,0.921
0.8,24,person,159,480,261,711,0.595
0.833,25,car,758,386,1173,527,0.945
0.833,25,person,166,476,258,711,0.587
0.867,26,car,739,381,1190,532,0.914
0.867,26,person,164,470,264,714,0.633
0.867,26,person,832,471,922,668,0.407
0.9,27,car,754,385,1197,536,0.957
0.9,27,person,163,475,267,713,0.553
0.9,27,person,643,509,813,716,0.423
0.9,27,person,839,471,920,666,0.402
0.933,28,car,755,392,1233,537,0.877
0.933,28,person,164,483,266,713,0.501
0.967,29,car,812,392,1248,533,0.905
0.967,29,person,164,482,267,714,0.565
0.967,29,person,848,471,926,664,0.43
1.0,30,car,840,391,1263,540,0.92
1.0,30,person,162,481,268,716,0.517
1.0,30,person,848,464,936,670,0.45
1.033,31,car,855,393,1279,540,0.929
1.033,31,person,158,481,267,719,0.501
1.067,32,car,874,396,1282,541,0.95
1.067,32,person,159,484,267,719,0.488
1.1,33,car,871,390,1309,544,0.967
1.1,33,person,158,485,270,720,0.581
1.1,33,person,849,450,937,669,0.431
1.1,33,person,1317,552,1439,714,0.409
1.133,34,car,879,389,1325,544,0.978
1.133,34,person,153,488,270,720,0.504
1.133,34,person,1316,553,1438,714,0.406
1.167,35,car,895,391,1340,543,0.968
1.167,35,person,1306,555,1442,716,0.5
1.167,35,person,868,463,938,668,0.435
1.2,36,car,916,390,1354,547,0.974
1.2,36,person,1303,555,1435,715,0.48
1.2,36,person,870,454,940,673,0.434
1.2,36,person,577,542,750,711,0.41
1.233,37,car,931,385,1376,547,0.968
1.233,37,person,1291,547,1436,719,0.469
1.233,37,person,867,444,937,670,0.447
1.267,38,car,936,388,1398,548,0.96
1.267,38,person,878,442,935,633,0.468
1.267,38,person,1292,544,1440,720,0.433
1.3,39,car,955,390,1419,550,0.953
1.3,39,person,863,433,924,635,0.447
1.333,40,car,966,390,1433,549,0.967
1.333,40,person,872,448,934,631,0.443
1.367,41,car,997,391,1450,551,0.982
1.367,41,person,870,446,934,630,0.501
1.4,42,car,1015,391,1474,550,0.966
1.4,42,person,880,452,941,621,0.526
1.433,43,car,1023,389,1489,551,0.953
1.433,43,person,887,452,943,617,0.477
1.467,44,car,1041,391,1503,551,0.932
1.467,44,person,887,443,946,613,0.516
1.5,45,car,1064,393,1516,553,0.869
1.5,45,person,890,445,948,608,0.479
1.533,46,car,1070,394,1534,552,0.969
1.533,46,person,890,457,944,600,0.409
1.567,47,car,1081,394,1539,555,0.948
1.6,48,car,1090,392,1546,561,0.969
1.633,49,car,1106,392,1535,564,0.959
1.667,50,car,1141,394,1546,563,0.966
1.7,51,car,1156,394,1546,567,0.973
1.7,51,person,894,453,948,603,0.411
1.733,52,car,1157,395,1546,558,0.966
1.733,52,person,511,483,684,715,0.533
1.733,52,person,891,446,947,601,0.446
1.733,52,person,762,455,811,594,0.412
1.767,53,car,1171,396,1546,556,0.939
1.767,53,person,514,479,693,714,0.567
1.767,53,person,298,459,373,632,0.55
1.767,53,person,769,457,815,594,0.471
1.767,53,person,890,449,942,599,0.441
1.8,54,car,1191,398,1546,551,0.849
1.8,54,person,512,476,693,718,0.681
1.8,54,person,770,453,816,597,0.529
1.8,54,person,891,453,944,599,0.47
1.8,54,person,749,445,801,592,0.403
1.833,55,person,511,476,689,716,0.727
1.833,55,car,1214,397,1546,549,0.693
1.833,55,person,299,467,375,632,0.531
1.833,55,person,1290,510,1419,720,0.467
1.833,55,person,773,452,821,590,0.455
1.833,55,truck,1214,397,1546,543,0.426
1.867,56,person,510,487,683,711,0.627
1.867,56,person,1290,506,1417,720,0.603
1.867,56,person,775,453,825,593,0.475
1.867,56,truck,1227,396,1543,537,0.47
1.867,56,person,305,461,379,627,0.466
1.867,56,car,1229,396,1546,547,0.461
1.9,57,person,511,490,672,711,0.671
1.9,57,car,1244,408,1545,549,0.663
1.9,57,person,1292,503,1415,718,0.555
1.9,57,person,774,449,825,596,0.514
1.9,57,person,754,445,805,592,0.423
1.9,57,person,890,457,941,592,0.413
1.933,58,car,1276,409,1545,550,0.754
1.933,58,person,503,489,674,708,0.691
1.933,58,person,771,450,821,601,0.513
1.933,58,person,312,468,383,629,0.435
1.967,59,person,499,478,674,711,0.786
1.967,59,car,1285,407,1545,553,0.594
1.967,59,person,769,446,823,608,0.475
1.967,59,person,1290,513,1416,719,0.448
1.967,59,person,318,467,384,626,0.435
2.0,60,person,499,478,669,710,0.769
2.0,60,car,1303,402,1546,555,0.685
2.0,60,person,772,452,824,614,0.545
2.0,60,person,319,468,386,625,0.466
2.033,61,person,498,471,671,711,0.845
2.033,61,person,772,448,825,618,0.575
2.033,61,car,1317,397,1546,554,0.54
2.033,61,truck,1316,401,1546,555,0.488
2.033,61,person,320,462,387,626,0.47
2.033,61,person,193,501,330,717,0.423
2.067,62,person,498,474,674,709,0.78
2.067,62,car,1337,400,1546,554,0.67
2.067,62,person,767,444,828,618,0.561
2.1,63,person,501,474,668,706,0.741
2.1,63,person,766,444,827,617,0.563
2.1,63,person,198,503,341,718,0.492
2.133,64,person,767,442,832,615,0.55
2.133,64,person,517,491,664,705,0.461
2.133,64,person,326,463,395,625,0.459
2.167,65,person,778,453,834,605,0.53
2.167,65,person,333,473,399,630,0.459
2.2,66,person,775,457,831,602,0.472
2.2,66,person,333,468,401,631,0.455
2.233,67,person,783,457,839,596,0.478
2.233,67,person,338,479,404,630,0.402
2.267,68,person,780,456,836,597,0.484
2.3,69,person,782,450,845,605,0.532
2.333,70,person,776,451,834,608,0.629
2.367,71,person,782,447,844,611,0.531
2.367,71,person,372,465,442,622,0.454
2.4,72,person,372,460,442,623,0.568
2.4,72,person,784,447,846,604,0.442
2.433,73,person,370,459,440,620,0.432
2.433,73,person,785,444,843,600,0.407
2.467,74,person,376,455,443,619,0.437
2.467,74,person,782,448,840,604,0.422
2.5,75,person,703,450,756,605,0.468
2.5,75,person,778,438,837,599,0.422
2.5,75,person,370,451,441,621,0.416
2.533,76,person,372,451,444,615,0.457
2.533,76,person,706,458,763,605,0.423
2.533,76,person,777,449,837,603,0.414
2.567,77,person,780,441,841,603,0.459
2.567,77,person,702,458,755,600,0.453
2.567,77,person,374,450,445,615,0.43
2.6,78,person,783,443,840,600,0.406
2.633,79,person,790,446,847,599,0.434
2.667,80,person,718,458,773,598,0.454
2.667,80,person,777,451,831,597,0.426
2.733,82,person,267,490,413,709,0.505
2.733,82,person,714,455,768,600,0.462
2.733,82,person,781,451,833,590,0.422
2.767,83,person,721,463,779,596,0.447
2.8,84,person,276,485,417,713,0.565
2.833,85,person,717,454,776,591,0.428
2.867,86,person,727,457,787,598,0.558
3.033,91,person,731,460,793,591,0.465
3.067,92,person,732,453,792,585,0.408
3.133,94,person,736,446,798,588,0.427
3.167,95,person,735,450,800,602,0.506
3.2,96,person,741,445,803,597,0.452
3.333,100,person,772,446,826,587,0.418
3.333,100,person,1189,478,1257,611,0.403
3.367,101,person,768,452,824,598,0.511
3.4,102,person,773,453,833,590,0.424
3.4,102,person,1169,547,1351,718,0.423
3.433,103,person,1169,562,1367,719,0.582
3.433,103,person,771,450,836,606,0.537
3.433,103,person,1462,457,1522,635,0.404
3.467,104,person,1176,562,1369,719,0.505
3.467,104,person,767,456,824,604,0.501
3.467,104,person,1460,459,1524,636,0.41
3.5,105,person,769,448,828,599,0.499
3.5,105,person,1183,559,1365,719,0.441
3.5,105,person,0,528,117,720,0.414
3.5,105,person,1462,467,1524,636,0.408
3.533,106,person,772,453,831,600,0.567
3.533,106,person,1186,563,1369,719,0.479
3.533,106,person,1464,475,1527,639,0.441
3.567,107,person,779,449,840,598,0.598
3.567,107,person,1191,568,1372,720,0.419
3.6,108,person,784,447,842,598,0.611
3.633,109,person,786,448,855,596,0.591
3.667,110,person,786,428,858,600,0.558
3.7,111,person,785,431,854,596,0.541
3.733,112,person,782,425,849,597,0.516
3.767,113,person,780,428,847,596,0.482
3.767,113,person,1471,473,1537,634,0.428
3.8,114,person,788,428,858,597,0.553
3.8,114,person,1470,464,1533,634,0.487
3.833,115,person,791,433,861,590,0.518
3.833,115,person,1474,462,1535,633,0.464
3.867,116,person,1234,557,1421,718,0.648
3.867,116,person,1479,461,1535,632,0.434
3.867,116,person,793,433,863,585,0.416
3.9,117,person,1235,550,1421,718,0.822
3.933,118,person,1234,554,1423,718,0.701
3.933,118,person,1481,473,1535,632,0.407
3.967,119,person,1236,550,1424,717,0.563
4.0,120,person,1236,549,1432,718,0.639
4.033,121,person,1237,542,1436,717,0.785
4.067,122,person,1236,540,1434,717,0.818
4.1,123,person,1236,538,1435,716,0.847
4.133,124,person,1235,541,1438,718,0.866
4.133,124,person,141,531,261,720,0.43
4.167,125,person,1239,545,1439,718,0.87
4.2,126,person,1242,546,1444,718,0.851
4.2,126,person,148,530,284,720,0.41
4.233,127,person,1244,550,1445,718,0.8
4.267,128,person,1251,552,1453,719,0.765
4.3,129,person,1253,550,1456,718,0.778
4.333,130,person,1255,545,1461,717,0.821
4.367,131,person,1261,540,1466,719,0.849
4.367,131,person,1185,481,1241,605,0.483
4.367,131,person,181,544,306,719,0.441
4.367,131,person,363,525,493,720,0.401
4.4,132,person,1268,540,1468,720,0.884
4.4,132,person,1178,482,1233,611,0.487
4.4,132,person,2,501,121,716,0.48
4.4,132,person,187,543,310,719,0.423
4.433,133,person,1270,537,1470,720,0.843
4.433,133,person,1183,478,1238,612,0.535
4.433,133,person,2,500,122,715,0.53
4.433,133,person,200,542,317,717,0.49
4.467,134,person,1274,543,1471,720,0.752
4.467,134,person,2,498,126,715,0.561
4.467,134,person,1180,471,1236,613,0.468
4.467,134,person,212,542,322,717,0.454
4.5,135,person,1277,535,1484,720,0.785
4.5,135,person,2,494,132,714,0.632
4.5,135,person,1176,469,1231,615,0.518
4.533,136,person,1282,534,1520,720,0.771
4.533,136,person,6,492,135,715,0.561
4.533,136,person,1175,458,1230,601,0.446
4.533,136,person,378,519,489,720,0.403
4.567,137,person,1280,525,1526,720,0.815
4.567,137,person,4,494,151,719,0.5
4.567,137,person,239,541,350,715,0.488
4.567,137,person,1176,457,1230,603,0.43
4.567,137,person,379,524,491,720,0.417
4.6,138,person,1288,524,1484,720,0.754
4.6,138,person,6,492,154,719,0.706
4.6,138,person,242,539,357,717,0.507
4.6,138,person,1176,466,1233,615,0.499
4.6,138,person,380,525,491,720,0.403
4.633,139,person,10,495,168,718,0.908
4.633,139,person,1291,529,1479,720,0.716
4.633,139,person,241,538,363,719,0.577
4.633,139,person,1174,462,1233,609,0.538
4.633,139,person,374,525,494,720,0.517
4.667,140,person,11,496,170,715,0.912
4.667,140,person,1289,531,1467,720,0.653
4.667,140,person,1171,462,1233,611,0.52
4.667,140,person,703,465,791,667,0.438
4.667,140,person,256,544,365,715,0.405
4.7,141,person,20,502,185,715,0.926
4.7,141,person,1292,531,1465,720,0.611
4.7,141,person,1171,445,1233,615,0.56
4.733,142,person,25,500,186,715,0.935
4.733,142,person,1293,533,1466,720,0.592
4.733,142,person,1172,461,1233,611,0.478
4.767,143,person,13,494,191,717,0.946
4.767,143,person,1291,532,1464,719,0.656
4.767,143,person,1174,458,1240,607,0.446
4.8,144,person,33,495,199,717,0.897
4.8,144,person,1288,534,1463,719,0.711
4.8,144,person,1175,443,1239,603,0.496
4.833,145,person,15,490,205,719,0.94
4.833,145,person,1292,537,1463,720,0.526
4.833,145,person,1178,450,1240,602,0.493
4.867,146,person,52,493,207,714,0.803
4.867,146,person,1295,539,1461,720,0.593
4.867,146,person,1178,447,1241,598,0.508
4.9,147,person,70,493,211,717,0.752
4.9,147,person,1294,537,1459,720,0.629
4.9,147,person,1178,447,1238,597,0.476
4.9,147,person,726,448,801,637,0.431
4.933,148,person,73,493,219,716,0.618
4.933,148,person,1297,535,1454,720,0.601
4.933,148,person,1174,461,1234,593,0.419
4.967,149,person,1291,538,1453,720,0.589
4.967,149,person,89,485,227,714,0.516
4.967,149,person,1177,468,1233,591,0.41
5.0,150,person,1279,524,1446,720,0.781
5.0,150,person,91,485,229,714,0.619
5.0,150,person,736,442,813,629,0.411
5.0,150,person,1172,464,1229,594,0.407
5.033,151,person,1276,518,1447,720,0.85
5.033,151,person,102,485,244,717,0.761
5.033,151,person,742,440,815,628,0.404
5.067,152,person,1279,516,1442,720,0.843
5.067,152,person,105,493,249,719,0.792
5.1,153,person,123,497,258,717,0.869
5.1,153,person,1280,517,1442,720,0.842
5.133,154,person,1272,522,1441,720,0.867
5.133,154,person,124,494,265,713,0.814
5.167,155,person,143,491,269,715,0.79
5.167,155,person,1278,518,1440,720,0.775
5.167,155,bus,0,275,243,640,0.425
5.167,155,person,757,428,831,597,0.402
5.2,156,person,1275,514,1434,720,0.81
5.2,156,bus,0,280,255,625,0.723
5.2,156,person,144,488,274,715,0.644
5.2,156,person,755,431,832,601,0.421
5.233,157,person,1278,513,1436,720,0.813
5.233,157,bus,0,276,271,630,0.738
5.233,157,person,151,487,283,717,0.61
5.233,157,person,761,425,831,601,0.443
5.267,158,person,1280,511,1434,720,0.758
5.267,158,bus,6,274,289,628,0.69
5.267,158,person,761,421,836,599,0.53
5.267,158,person,153,493,289,717,0.522
5.3,159,bus,1,272,293,636,0.767
5.3,159,person,1282,516,1429,720,0.737
5.3,159,person,760,426,836,605,0.561
5.3,159,person,161,480,296,716,0.515
5.333,160,bus,3,274,309,641,0.688
5.333,160,person,1285,519,1427,720,0.645
5.333,160,person,162,474,304,714,0.617
5.333,160,person,763,423,838,599,0.474
5.367,161,person,1281,515,1428,720,0.793
5.367,161,person,167,478,309,713,0.765
5.367,161,bus,0,272,312,636,0.754
5.367,161,person,762,428,839,603,0.532
5.367,161,person,411,540,549,720,0.412
5.4,162,person,1281,512,1425,720,0.862
5.4,162,person,177,478,309,713,0.726
5.4,162,bus,0,271,323,643,0.724
5.4,162,person,757,428,838,609,0.517
5.433,163,person,1283,513,1423,720,0.813
5.433,163,bus,0,277,339,638,0.813
5.433,163,person,190,493,321,713,0.656
5.433,163,person,758,423,841,619,0.61
5.433,163,person,422,543,552,720,0.415
5.467,164,bus,0,280,360,636,0.903
5.467,164,person,1283,512,1421,720,0.751
5.467,164,person,189,492,322,713,0.651
5.467,164,person,758,427,839,618,0.62
5.5,165,bus,0,279,370,639,0.93
5.5,165,person,1284,514,1419,720,0.696
5.5,165,person,765,427,841,616,0.649
5.5,165,person,198,497,326,712,0.441
5.5,165,person,423,541,558,720,0.415
5.533,166,bus,0,279,379,629,0.947
5.533,166,person,190,497,345,715,0.823
5.533,166,person,1284,514,1419,720,0.781
5.533,166,person,766,423,847,624,0.758
5.567,167,bus,0,280,389,632,0.922
5.567,167,person,200,493,352,717,0.835
5.567,167,person,1284,510,1421,720,0.825
5.567,167,person,769,424,847,623,0.762
5.567,167,person,427,534,565,720,0.408
5.6,168,bus,0,283,408,635,0.893
5.6,168,person,1285,504,1419,720,0.851
5.6,168,person,202,493,356,717,0.829
5.6,168,person,770,423,850,622,0.754
5.633,169,person,208,492,363,718,0.895
5.633,169,bus,0,285,419,643,0.826
5.633,169,person,1284,506,1417,720,0.818
5.633,169,person,774,426,856,627,0.807
5.667,170,person,205,490,370,719,0.878
5.667,170,person,1282,506,1416,720,0.867
5.667,170,person,773,421,857,627,0.861
5.667,170,bus,0,284,445,650,0.78
5.7,171,person,1275,501,1418,720,0.92
5.7,171,bus,0,285,452,650,0.807
5.7,171,person,216,488,368,718,0.803
5.7,171,person,775,428,850,620,0.763
5.733,172,person,1271,505,1418,720,0.917
5.733,172,bus,0,282,454,649,0.825
5.733,172,person,217,497,375,720,0.751
5.733,172,person,778,419,859,620,0.705
5.733,172,person,957,477,1028,606,0.416
5.767,173,bus,0,281,459,648,0.813
5.767,173,person,1272,512,1417,720,0.784
5.767,173,person,786,430,864,608,0.676
5.767,173,person,223,485,380,720,0.643
5.8,174,person,1273,508,1416,720,0.791
5.8,174,bus,0,282,466,647,0.747
5.8,174,person,788,429,866,615,0.702
5.8,174,person,260,484,386,713,0.594
5.833,175,bus,0,284,475,642,0.866
5.833,175,person,791,428,866,610,0.638
5.833,175,person,1272,512,1412,720,0.623
5.867,176,bus,2,288,473,636,0.828
5.867,176,person,1270,515,1415,720,0.737
5.867,176,person,792,431,859,603,0.671
5.867,176,person,281,490,405,711,0.573
5.9,177,bus,0,287,498,644,0.846
5.9,177,person,283,484,412,712,0.764
5.9,177,person,793,428,861,610,0.697
5.9,177,person,1263,528,1405,720,0.581
5.933,178,person,283,483,418,715,0.835
5.933,178,bus,0,293,511,637,0.825
5.933,178,person,1263,528,1407,719,0.616
5.933,178,person,794,432,856,596,0.576
5.967,179,bus,1,283,514,650,0.88
5.967,179,person,299,480,429,716,0.716
5.967,179,person,794,437,857,601,0.66
5.967,179,person,1261,531,1401,720,0.585
5.967,179,person,418,496,547,717,0.408
6.0,180,bus,0,281,525,647,0.947
6.0,180,person,290,483,442,719,0.806
6.0,180,person,793,440,852,606,0.679
6.0,180,person,1256,529,1400,718,0.574
6.0,180,person,1159,428,1218,568,0.402
6.033,181,bus,0,283,535,647,0.933
6.033,181,person,289,488,439,718,0.771
6.033,181,person,793,447,852,603,0.678
6.033,181,person,1253,525,1397,717,0.633
6.033,181,person,1159,431,1217,575,0.438
6.067,182,bus,0,286,553,644,0.942
6.067,182,person,298,479,455,718,0.722
6.067,182,person,795,448,854,596,0.638
6.1,183,bus,0,288,553,651,0.943
6.1,183,person,298,485,461,718,0.721
6.1,183,person,798,434,861,590,0.616
6.133,184,bus,0,287,555,659,0.956
6.133,184,person,302,500,459,716,0.646
6.133,184,person,795,441,853,592,0.638
6.133,184,person,1265,538,1386,713,0.427
6.167,185,bus,0,290,565,661,0.974
6.167,185,person,797,448,857,596,0.645
6.167,185,person,302,499,457,716,0.514
6.167,185,person,961,483,1030,605,0.408
6.2,186,bus,0,287,568,659,0.981
6.2,186,person,797,453,862,598,0.679
6.2,186,person,352,483,478,715,0.478
6.2,186,person,959,483,1029,604,0.42
6.233,187,bus,0,287,578,658,0.987
6.233,187,person,800,440,866,591,0.629
6.233,187,person,287,499,467,717,0.576
6.233,187,person,956,475,1027,601,0.414
6.267,188,bus,0,283,604,650,0.981
6.267,188,person,346,484,486,718,0.676
6.267,188,person,798,432,867,593,0.596
6.267,188,person,956,475,1028,606,0.453
6.267,188,person,438,477,564,713,0.448
6.3,189,bus,3,284,606,647,0.988
6.3,189,person,794,444,863,603,0.648
6.3,189,person,952,480,1027,608,0.444
6.3,189,person,362,496,486,717,0.432
6.333,190,bus,5,287,614,639,0.982
6.333,190,person,802,443,870,599,0.619
